"Name of College","City","State","Minimum Score Required"
"Madisonville Community College","Madisonville","Kentucky (KY)","3"
"Malone University","Canton","Ohio (OH)","3"
"Marian University","Indianapolis","Indiana (IN)","4"
"Marist University","Poughkeepsie","New York (NY)","3"
"Marquette University","Milwaukee","Wisconsin (WI)","4"
"Marymount University","Arlington","Virginia (VA)","4"
"Maryville University of Saint Louis","Saint Louis","Missouri (MO)","3"
"Massachusetts Maritime Academy","Buzzards Bay","Massachusetts (MA)","4"
"Maysville Community And Technical College - Maysville Campus","Maysville","Kentucky (KY)","3"
"McDaniel College","Westminster","Maryland (MD)","3"
"McHenry County College","Crystal Lake","Illinois (IL)","3"
"McKendree University","Lebanon","Illinois (IL)","3"
"McNeese State University","Lake Charles","Louisiana (LA)","3"
"McPherson College","McPherson","Kansas (KS)","3"
"Mendocino College","Ukiah","California (CA)","3"
"Mercer University","Macon","Georgia (GA)","4"
"Mercy College of Ohio","Toledo","Ohio (OH)","3"
"Metropolitan State University of Denver","Denver","Colorado (CO)","3"
"Miami Dade College","Miami","Florida (FL)","3"
"Miami University: Hamilton","Hamilton","Ohio (OH)","3"
"Miami University: Middletown","Middletown","Ohio (OH)","3"
"Miami University: Oxford","Oxford","Ohio (OH)","3"
"Michigan State University","East Lansing","Michigan (MI)","4"
"Michigan Technological University","Houghton","Michigan (MI)","3"
"Middle Georgia State University","Cochran","Georgia (GA)","3"
"Middle Georgia State University - Macon","Macon","Georgia (GA)","3"
"Milligan University","Milligan College","Tennessee (TN)","3"
"Milwaukee School of Engineering","Milwaukee","Wisconsin (WI)","4"
"Minneapolis College of Art and Design","Minneapolis","Minnesota (MN)","4"
"Minnesota State University Mankato","Mankato","Minnesota (MN)","3"
"Minot State University","Minot","North Dakota (ND)","3"
"MiraCosta College - Oceanside Campus","Oceanside","California (CA)","3"
"Misericordia University","Dallas","Pennsylvania (PA)","4"
"Mississippi State University","Mississippi State","Mississippi (MS)","3"
"Missouri State University","Springfield","Missouri (MO)","3"
"Missouri University of Science and Technology","Rolla","Missouri (MO)","3"
"Molloy University","Rockville Centre","New York (NY)","3"
"Monmouth College","Monmouth","Illinois (IL)","3"
"Monmouth University","West Long Branch","New Jersey (NJ)","4"
"Monroe Community College","Rochester","New York (NY)","3"
"Montana State University","Bozeman","Montana (MT)","3"
"Montana State University: Northern","Havre","Montana (MT)","3"
"Montclair State University","Montclair","New Jersey (NJ)","4"
"Montgomery County Community College","Blue Bell","Pennsylvania (PA)","3"
"Moorpark College","Moorpark","California (CA)","3"
"Moraine Valley Community College","Palos Hills","Illinois (IL)","3"
"Moravian University","Bethlehem","Pennsylvania (PA)","4"
"Morehead State University","Morehead","Kentucky (KY)","3"
"Morgan Community College","Fort Morgan","Colorado (CO)","3"
"Morgan State University","Baltimore","Maryland (MD)","4"
"Motlow State Community College","Tullahoma","Tennessee (TN)","3"
"Mount Saint Mary's University","Los Angeles","California (CA)","4"
"Mount San Antonio College","Walnut","California (CA)","3"
"Mount San Jacinto College","San Jacinto","California (CA)","3"
"Mount Vernon Nazarene University","Mount Vernon","Ohio (OH)","3"
"Murray State University","Murray","Kentucky (KY)","3"
"Muskingum University","New Concord","Ohio (OH)","3"
"Napa Valley College","Napa","California (CA)","3"
"Naropa University","Boulder","Colorado (CO)","3"
"Nazareth University","Rochester","New York (NY)","3"
