"Name of College","City","State","Minimum Score Required"
"South Dakota State University","Brookings","South Dakota (SD)","3"
"South Puget Sound Community College","Tumwater","Washington (WA)","3"
"South Seattle College","Seattle","Washington (WA)","3"
"Southeast Kentucky Community and Technical College","Cumberland","Kentucky (KY)","3"
"Southeastern University","Lakeland","Florida (FL)","3"
"Southern Connecticut State University","New Haven","Connecticut (CT)","3"
"Southern Illinois University Carbondale","Carbondale","Illinois (IL)","3"
"Southern Illinois University Edwardsville","Edwardsville","Illinois (IL)","3"
"Southern New Hampshire University","Manchester","New Hampshire (NH)","3"
"Southern State Community College","Hillsboro","Ohio (OH)","3"
"Southern Virginia University","Buena Vista","Virginia (VA)","4"
"Southern West Virginia Community and Technical College","Mount Gay","West Virginia (WV)","3"
"Southwest Baptist University","Bolivar","Missouri (MO)","3"
