"Name of College","City","State","Minimum Score Required"
"Illinois Eastern Community Colleges Wabash Valley College","Mount Carmel","Illinois (IL)","3"
"Illinois Institute of Technology","Chicago","Illinois (IL)","4"
"Illinois State University","Normal","Illinois (IL)","3"
"Illinois Wesleyan University","Bloomington","Illinois (IL)","4"
"Imperial Valley College","Imperial","California (CA)","3"
"Indiana Institute of Technology","Fort Wayne","Indiana (IN)","3"
"Indiana State University","Terre Haute","Indiana (IN)","3"
"Indiana University Bloomington","Bloomington","Indiana (IN)","3"
"Indiana University East","Richmond","Indiana (IN)","3"
"Indiana University Indianapolis","Indianapolis","Indiana (IN)","3"
"Indiana University Kokomo","Kokomo","Indiana (IN)","3"
"Indiana University Northwest","Gary","Indiana (IN)","3"
"Indiana University South Bend","South Bend","Indiana (IN)","3"
"Indiana University of Pennsylvania","Indiana","Pennsylvania (PA)","3"
"Indiana Wesleyan University","Marion","Indiana (IN)","3"
"Iona University","New Rochelle","New York (NY)","3"
"Iowa State University","Ames","Iowa (IA)","4"
"Irvine Valley College","Irvine","California (CA)","3"
"Isothermal Community College","Spindale","North Carolina (NC)","3"
"Itawamba Community College","Fulton","Mississippi (MS)","3"
"Ithaca College","Ithaca","New York (NY)","3"
"J. Sargeant Reynolds Community College","Henrico","Virginia (VA)","4"
"Jacksonville University","Jacksonville","Florida (FL)","3"
"James Madison University","Harrisonburg","Virginia (VA)","3"
"Jefferson Community College","Watertown","New York (NY)","3"
"Jefferson Community and Technical College","Louisville","Kentucky (KY)","3"
"John A. Logan College","Carterville","Illinois (IL)","3"
"John Brown University","Siloam Springs","Arkansas (AR)","3"
"John Carroll University","Cleveland","Ohio (OH)","3"
"Johnson & Wales University: Providence","Providence","Rhode Island (RI)","3"
"Joliet Junior College","Joliet","Illinois (IL)","3"
"Jones County Junior College","Ellisville","Mississippi (MS)","3"
"Judson University","Elgin","Illinois (IL)","3"
"Juniata College","Huntingdon","Pennsylvania (PA)","4"
"Kalamazoo College","Kalamazoo","Michigan (MI)","4"
"Kankakee Community College","Kankakee","Illinois (IL)","3"
"Kansas City Kansas Community College","Kansas City","Kansas (KS)","3"
"Kansas State University","Manhattan","Kansas (KS)","3"
"Kansas Wesleyan University","Salina","Kansas (KS)","3"
"Kaskaskia College","Centralia","Illinois (IL)","3"
"Kean University","Union","New Jersey (NJ)","3"
"Kendall College of Art and Design of Ferris State University","Grand Rapids","Michigan (MI)","3"
"Kennebec Valley Community College","Fairfield","Maine (ME)","3"
"Kennesaw State University","Kennesaw","Georgia (GA)","3"
"Kent State University","Kent","Ohio (OH)","3"
"Kent State University: Ashtabula","Ashtabula","Ohio (OH)","3"
"Kent State University: East Liverpool","East Liverpool","Ohio (OH)","3"
"Kent State University: Geauga","Burton","Ohio (OH)","3"
"Kent State University: Salem","Salem","Ohio (OH)","3"
"Kent State University: Stark","North Canton","Ohio (OH)","3"
"Kent State University: Trumbull","Warren","Ohio (OH)","3"
"Kent State University: Tuscarawas","New Philadelphia","Ohio (OH)","3"
"Kettering University","Flint","Michigan (MI)","4"
"Keystone College","La Plume","Pennsylvania (PA)","3"
"King University","Bristol","Tennessee (TN)","4"
"Kirkwood Community College","Cedar Rapids","Iowa (IA)","3"
"Kirtland Community College","Grayling","Michigan (MI)","3"
"Kishwaukee College","Malta","Illinois (IL)","3"
"Knox College","Galesburg","Illinois (IL)","4"
"Kutztown University of Pennsylvania","Kutztown","Pennsylvania (PA)","3"
"LIM College","New York","New York (NY)","3"
"Labette Community College","Parsons","Kansas (KS)","3"
